# Experiment start time: 0.063500 seconds
# Local time: 20250605_140956
# Control phase description: 0=CALIBRATION, 1=APPROACH, 2=CONTACT_CONFIRMATION, 3=DEPTH_CONTROL, 4=TRAJECTORY
# Soft block physical properties: Young's modulus=300000.000000Pa, Poisson ratio=0.450000
# Target force: 10.000000N
# Contact model parameters: Radius=0.002000m, Depth threshold=0.000100m
# Logging frequency: 0.05 seconds
# Force plot topics: /force_plot/force_z, /force_plot/theoretical_force
# ---------------------------------------
time,phase,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,depth,surface_z,theoretical_force
0.114000,0,0.473049,-1.467739,-0.309255,-1.012316,-0.015573,1.809608,0.000000,0.000000,0.000000
0.164000,0,0.471130,-0.129285,-0.240876,-0.399918,-1.975158,0.484428,0.000000,0.000000,0.000000
0.214000,0,0.470783,0.639833,0.086312,-2.059652,-3.756352,2.158472,0.000000,0.000000,0.000000
0.264000,0,0.470601,-0.522039,0.349287,0.163054,-1.684595,0.648932,0.000000,0.000000,0.000000
0.314000,0,0.470493,-0.497491,0.309921,0.090186,-1.801446,0.593027,0.000000,0.000000,0.000000
0.364000,0,0.470740,-0.643285,0.335099,-0.012829,-1.822954,0.725446,0.000000,0.000000,0.000000
0.414000,0,0.470933,-1.023440,0.368051,0.407576,-1.338444,1.161469,0.000000,0.000000,0.000000
0.464000,0,0.471057,-1.053700,0.583965,0.285093,-1.401616,1.237973,0.000000,0.000000,0.000000
0.514000,0,0.471155,-1.072638,0.511765,0.193666,-1.437066,1.204144,0.000000,0.000000,0.000000
0.564000,0,0.471168,-1.069615,0.457398,0.154848,-1.438787,1.173570,0.000000,0.000000,0.000000
0.614000,0,0.471137,-0.023253,0.541676,-0.190748,-1.538711,0.574750,0.000000,0.000000,0.000000
0.664000,0,0.471099,0.009591,0.596886,-0.214147,-1.580294,0.634211,0.000000,0.000000,0.000000
0.714000,0,0.471058,0.053621,0.572044,-0.203200,-1.587003,0.609426,0.000000,0.000000,0.000000
0.764000,0,0.471026,0.114651,0.561315,-0.207254,-1.602249,0.609240,0.000000,0.000000,0.000000
0.814000,0,0.471007,0.166081,0.555813,-0.198908,-1.600437,0.613250,0.000000,0.000000,0.000000
0.864000,0,0.470998,0.212408,0.349858,-0.190338,-1.595701,0.451383,0.000000,0.000000,0.000000
0.914000,0,0.470997,0.248409,0.122276,-0.183486,-1.590678,0.332153,0.000000,0.000000,0.000000
0.964000,0,0.471004,0.244598,0.180307,-0.201829,-1.611091,0.364793,0.000000,0.000000,0.000000
1.014000,0,0.471019,0.238204,0.501014,-0.160502,-1.570404,0.577510,0.000000,0.000000,0.000000
1.064000,0,0.471036,0.194077,0.678048,-0.174237,-1.583541,0.726480,0.000000,0.000000,0.000000
1.114000,0,0.471050,0.204534,0.598031,-0.145197,-1.554431,0.648504,0.000000,0.000000,0.000000
1.164000,0,0.471059,0.163262,0.755189,-0.152853,-1.562088,0.787610,0.000000,0.000000,0.000000
1.214000,0,0.471061,0.207375,-0.955402,0.185305,-1.223930,0.995056,0.000000,0.000000,0.000000
1.264000,0,0.471066,0.163628,-0.133652,0.180934,-1.228301,0.278161,0.000000,0.000000,0.000000
1.314000,0,0.471069,0.151385,-0.097043,0.198332,-1.210903,0.267713,0.000000,0.000000,0.000000
1.364000,0,0.471067,0.148513,-0.332052,0.202512,-1.206723,0.416324,0.000000,0.000000,0.000000
1.414000,0,0.471060,0.130168,-0.370725,0.173819,-1.235416,0.429644,0.000000,0.000000,0.000000
1.464000,0,0.471052,0.117110,-0.310299,0.106778,-1.302457,0.348427,0.000000,0.000000,0.000000
1.514000,0,0.471045,0.142557,-0.560109,0.181482,-1.227753,0.605789,0.000000,0.000000,0.000000
1.564000,0,0.471044,0.085419,-0.088561,-0.177202,-1.586437,0.215731,0.000000,0.000000,0.000000
1.614000,0,0.471044,0.077891,0.174012,-0.173542,-1.582776,0.257806,0.000000,0.000000,0.000000
1.664000,0,0.471047,0.071237,0.660115,-0.168338,-1.577572,0.684956,0.000000,0.000000,0.000000
