time,control_type,position_x,position_y,position_z,desired_position_x,desired_position_y,desired_position_z,position_error_norm,orientation_error_deg,control_effort,oscillation_index
5.045,open_loop,0.314272,0.00446024,0.582774,0.499958,-0.1,0.300003,0.354049,1.98643,35.4117,0.0916177
5.046,open_loop,0.314345,0.00432916,0.582511,0.499955,-0.1,0.300003,0.353761,1.99082,35.3829,0.103365
5.047,open_loop,0.314416,0.00418691,0.582236,0.499952,-0.1,0.300003,0.35346,1.99733,35.3529,0.118776
5.048,open_loop,0.314489,0.00405031,0.581959,0.499949,-0.1,0.300003,0.353159,2.00377,35.3228,0.0398382
5.049,open_loop,0.314559,0.00390688,0.581669,0.499945,-0.1,0.300003,0.352847,2.01161,35.2917,0.0930164
5.05,open_loop,0.314633,0.00377157,0.581378,0.499942,-0.1,0.300003,0.352534,2.01956,35.2604,0.106747
5.051,open_loop,0.314705,0.00362525,0.581074,0.499938,-0.1,0.300003,0.352209,2.02941,35.228,0.118588
5.052,open_loop,0.314779,0.00348469,0.580769,0.499935,-0.1,0.300003,0.351883,2.03902,35.1955,0.0424544
5.053,open_loop,0.31485,0.00333745,0.580451,0.499931,-0.1,0.300003,0.351547,2.04982,35.1619,0.0955319
5.054,open_loop,0.314926,0.00319843,0.580132,0.499927,-0.1,0.300003,0.351209,2.06061,35.1283,0.109821
5.055,open_loop,0.314998,0.00304854,0.5798,0.499923,-0.1,0.300003,0.35086,2.07308,35.0935,0.119552
5.056,open_loop,0.315073,0.00290449,0.579467,0.499919,-0.1,0.300003,0.350511,2.0852,35.0586,0.0454152
5.057,open_loop,0.315145,0.00275387,0.579121,0.499914,-0.1,0.300003,0.35015,2.09832,35.0227,0.0989742
5.058,open_loop,0.315221,0.00261156,0.578774,0.49991,-0.1,0.300003,0.349789,2.11135,34.9867,0.112595
5.059,open_loop,0.315295,0.00245847,0.578414,0.499905,-0.1,0.300003,0.349416,2.12589,34.9495,0.121474
5.06,open_loop,0.31537,0.0023113,0.578053,0.4999,-0.0999999,0.300003,0.349043,2.14001,34.9123,0.0485746
5.061,open_loop,0.315442,0.00215764,0.577679,0.499895,-0.0999999,0.300003,0.348659,2.15498,34.874,0.103105
5.062,open_loop,0.315519,0.00201235,0.577305,0.49989,-0.0999999,0.300003,0.348275,2.16983,34.8357,0.115125
5.063,open_loop,0.315593,0.00185637,0.576918,0.499884,-0.0999999,0.300003,0.347879,2.18607,34.7963,0.124208
5.064,open_loop,0.315669,0.00170634,0.576529,0.499878,-0.0999999,0.300003,0.347483,2.20185,34.7568,0.0519339
5.065,open_loop,0.315742,0.00154988,0.576128,0.499873,-0.0999999,0.300003,0.347076,2.21839,34.7162,0.107712
