# Experiment start time: 1753165482.195746 seconds
# Local time: 20250722_142442
# Control phases: 0=CALIBRATION, 4=TRAJECTORY, 5=PAUSE_AT_TARGET, 6=PROBE_DESCENT, 7=PROBE_PAUSE, 8=CIRCULAR_MOTION
# Target force: 2.000000N
# Logging frequency: real-time (no artificial limits)
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,energy_level,energy_scale_factor
1753165482.182756,8,0.479858,0.087463,0.200231,0.090796,-0.042067,-0.952435,-484.049835,0.957677,7.481414,1.000000
1753165482.196493,8,0.479858,0.087463,0.200231,0.090796,-0.042067,-0.952435,-484.049835,0.957677,7.481414,1.000000
1753165482.206666,8,0.479858,0.087463,0.200231,0.073271,-0.024748,-0.800437,-485.996643,0.804165,7.481414,1.000000
1753165482.216769,8,0.479858,0.087463,0.200231,0.073271,-0.024748,-0.800437,-485.996643,0.804165,7.481414,1.000000
1753165482.227693,8,0.479858,0.087463,0.200231,0.073271,-0.024748,-0.800437,-485.996643,0.804165,7.481414,1.000000
1753165482.237912,8,0.479858,0.087463,0.200231,0.073271,-0.024748,-0.800437,-485.996643,0.804165,7.481414,1.000000
1753165482.248697,8,0.479858,0.087463,0.200231,0.073271,-0.024748,-0.800437,-485.996643,0.804165,7.481414,1.000000
1753165482.258760,8,0.479858,0.087463,0.200231,0.084252,-0.029379,-0.549567,-483.943634,0.556764,7.481414,1.000000
1753165482.269817,8,0.479858,0.087463,0.200231,0.084252,-0.029379,-0.549567,-483.943634,0.556764,7.481414,1.000000
1753165482.280713,8,0.479858,0.087463,0.200231,0.084252,-0.029379,-0.549567,-483.943634,0.556764,7.481414,1.000000
1753165482.290759,8,0.479858,0.087463,0.200231,0.084252,-0.029379,-0.549567,-483.943634,0.556764,7.481395,1.000000
1753165482.300794,8,0.479858,0.087463,0.200231,0.065066,-0.056364,-0.425222,-483.983368,0.433848,7.481395,1.000000
1753165482.311688,8,0.479858,0.087463,0.200231,0.065066,-0.056364,-0.425222,-482.023468,0.433848,7.481395,1.000000
1753165482.321720,8,0.479858,0.087463,0.200231,0.065066,-0.056364,-0.425222,-482.023468,0.433848,7.481395,1.000000
1753165482.331756,8,0.479858,0.087463,0.200231,0.065066,-0.056364,-0.425222,-482.023468,0.433848,7.481395,1.000000
1753165482.342735,8,0.479858,0.087463,0.200231,0.065066,-0.056364,-0.425222,-482.023468,0.433848,7.481395,1.000000
1753165482.352754,8,0.479858,0.087463,0.200231,0.043607,-0.030971,-0.043290,-485.957031,0.068810,7.481395,1.000000
1753165482.363692,8,0.479858,0.087463,0.200231,0.043607,-0.030971,-0.043290,-485.957031,0.068810,7.481395,1.000000
1753165482.374679,8,0.479858,0.087463,0.200231,0.043607,-0.030971,-0.043290,-485.957031,0.068810,7.481395,1.000000
1753165482.384777,8,0.479858,0.087463,0.200231,0.043607,-0.030971,-0.043290,-485.957031,0.068810,7.481395,1.000000
1753165482.395710,8,0.479858,0.087463,0.200231,0.043607,-0.030971,-0.043290,-485.957031,0.068810,7.481395,1.000000
1753165482.405808,8,0.479858,0.087463,0.200231,0.064908,-0.011050,-0.690741,-485.956635,0.693872,7.481395,1.000000
1753165482.416767,8,0.479858,0.087463,0.200231,0.064908,-0.011050,-0.690741,-485.956635,0.693872,7.481395,1.000000
1753165482.427784,8,0.479858,0.087463,0.200231,0.064908,-0.011050,-0.690741,-485.956635,0.693872,7.481395,1.000000
1753165482.438768,8,0.479858,0.087463,0.200231,0.064908,-0.011050,-0.690741,-485.956635,0.693872,7.481383,1.000000
1753165482.448842,8,0.479858,0.087463,0.200231,0.054568,-0.030581,-0.387420,-485.983124,0.392437,7.481383,1.000000
1753165482.459781,8,0.479858,0.087463,0.200231,0.054568,-0.030581,-0.387420,-485.983124,0.392437,7.481383,1.000000
1753165482.470739,8,0.479858,0.087463,0.200231,0.054568,-0.030581,-0.387420,-485.983124,0.392437,7.481383,1.000000
1753165482.480753,8,0.479858,0.087463,0.200231,0.054568,-0.030581,-0.387420,-485.983124,0.392437,7.481383,1.000000
1753165482.491730,8,0.479858,0.087463,0.200231,0.054568,-0.030581,-0.387420,-485.983124,0.392437,7.481383,1.000000
1753165482.501762,8,0.479858,0.087463,0.200231,0.102596,-0.055803,0.056133,-483.969971,0.129579,7.481383,1.000000
1753165482.512669,8,0.479858,0.087463,0.200231,0.102596,-0.055803,0.056133,-483.969971,0.129579,7.481383,1.000000
1753165482.522709,8,0.479858,0.087463,0.200231,0.102596,-0.055803,0.056133,-483.969971,0.129579,7.481383,1.000000
1753165482.532717,8,0.479858,0.087463,0.200231,0.102596,-0.055803,0.056133,-483.969971,0.129579,7.481383,1.000000
1753165482.542758,8,0.479858,0.087463,0.200231,0.066268,-0.026693,-0.135211,-483.943909,0.152925,7.481383,1.000000
1753165482.552788,8,0.479858,0.087463,0.200231,0.066268,-0.026693,-0.135211,-483.943909,0.152925,7.481383,1.000000
1753165482.563664,8,0.479858,0.087463,0.200231,0.066268,-0.026693,-0.135211,-483.943909,0.152925,7.481383,1.000000
1753165482.573729,8,0.479858,0.087463,0.200231,0.066268,-0.026693,-0.135211,-483.943909,0.152925,7.481383,1.000000
1753165482.583801,8,0.479858,0.087463,0.200231,0.066268,-0.026693,-0.135211,-483.943909,0.152925,7.481383,1.000000
1753165482.594684,8,0.479858,0.087463,0.200231,0.089734,-0.050058,-0.807715,-483.956573,0.814224,7.481377,1.000000
1753165482.604723,8,0.479858,0.087463,0.200231,0.089734,-0.050058,-0.807715,-483.956573,0.814224,7.481377,1.000000
1753165482.615737,8,0.479858,0.087463,0.200231,0.089734,-0.050058,-0.807715,-483.956573,0.814224,7.481377,1.000000
1753165482.626677,8,0.479858,0.087463,0.200231,0.089734,-0.050058,-0.807715,-483.956573,0.814224,7.481377,1.000000
1753165482.636705,8,0.479858,0.087463,0.200231,0.072045,-0.050764,-0.526656,-483.956573,0.533979,7.481377,1.000000
1753165482.647762,8,0.479858,0.087463,0.200231,0.073628,-0.030874,-0.322009,-483.983337,0.331759,7.481377,1.000000
1753165482.658740,8,0.479858,0.087463,0.200231,0.073628,-0.030874,-0.322009,-483.983337,0.331759,7.481377,1.000000
1753165482.668782,8,0.479858,0.087463,0.200231,0.073628,-0.030874,-0.322009,-483.983337,0.331759,7.481377,1.000000
