# Experiment start time: 0.072500 seconds
# Local time: 20250605_140428
# Control phase description: 0=CALIBRATION, 1=APPROACH, 2=CONTACT_CONFIRMATION, 3=DEPTH_CONTROL, 4=TRAJECTORY
# Soft block physical properties: Young's modulus=300000.000000Pa, Poisson ratio=0.450000
# Target force: 10.000000N
# Contact model parameters: Radius=0.002000m, Depth threshold=0.000100m
# Logging frequency: 0.05 seconds
# Force plot topics: /force_plot/force_z, /force_plot/theoretical_force
# ---------------------------------------
time,phase,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,depth,surface_z,theoretical_force
0.123000,0,0.473412,1.483067,1.838372,-3.067929,-1.358247,3.871858,0.000000,0.000000,0.000000
0.173000,0,0.472161,-0.294878,1.210025,0.198414,-0.248981,1.261143,0.000000,0.000000,0.000000
0.223000,0,0.471445,0.840790,0.105746,-1.975179,-2.881560,2.149289,0.000000,0.000000,0.000000
0.273000,0,0.471189,-0.130211,0.246670,-1.083585,-2.205421,1.118909,0.000000,0.000000,0.000000
0.323000,0,0.470847,-0.716957,-0.697256,-0.326279,-1.651241,1.051975,0.000000,0.000000,0.000000
0.373000,0,0.470789,-0.886789,-0.221398,-0.541804,-1.928505,1.062527,0.000000,0.000000,0.000000
0.423000,0,0.470867,-1.329097,-0.307296,-0.186902,-1.588065,1.376903,0.000000,0.000000,0.000000
0.473000,0,0.470911,-1.551458,0.178699,-0.042000,-1.446592,1.562281,0.000000,0.000000,0.000000
0.523000,0,0.470966,-1.595252,0.527694,-0.100288,-1.494096,1.683255,0.000000,0.000000,0.000000
0.573000,0,0.470991,-1.613094,0.527877,-0.076824,-1.461176,1.699008,0.000000,0.000000,0.000000
0.623000,0,0.470973,-0.020753,0.523431,-0.151365,-1.490067,0.545272,0.000000,0.000000,0.000000
0.673000,0,0.470943,0.028964,0.515907,-0.191533,-1.543843,0.551075,0.000000,0.000000,0.000000
0.723000,0,0.470907,0.098089,0.514633,-0.195762,-1.564326,0.559277,0.000000,0.000000,0.000000
0.773000,0,0.470876,0.190193,0.457368,-0.200662,-1.583324,0.534438,0.000000,0.000000,0.000000
0.823000,0,0.470857,0.283935,0.236150,-0.199795,-1.592273,0.419886,0.000000,0.000000,0.000000
0.873000,0,0.470852,0.366173,0.126621,-0.191522,-1.590445,0.432199,0.000000,0.000000,0.000000
0.923000,0,0.470858,0.424954,0.139834,-0.181255,-1.583892,0.482694,0.000000,0.000000,0.000000
0.973000,0,0.470873,0.453776,0.191186,-0.175055,-1.579527,0.522598,0.000000,0.000000,0.000000
1.023000,0,0.470893,0.451154,0.230771,-0.168496,-1.573638,0.534028,0.000000,0.000000,0.000000
1.073000,0,0.470915,0.414082,0.559988,-0.161056,-1.565968,0.714835,0.000000,0.000000,0.000000
1.123000,0,0.470936,0.382104,1.033353,-0.158980,-1.564061,1.113147,0.000000,0.000000,0.000000
1.173000,0,0.470951,0.335435,1.436471,-0.160648,-1.565729,1.483837,0.000000,0.000000,0.000000
1.223000,0,0.470958,0.307729,0.920464,-0.152311,-1.557392,0.982420,0.000000,0.000000,0.000000
1.273000,0,0.470956,0.276249,0.448513,0.003242,-1.401839,0.526771,0.000000,0.000000,0.000000
1.323000,0,0.470949,0.270233,-0.491550,0.183250,-1.221831,0.590108,0.000000,0.000000,0.000000
1.373000,0,0.470939,0.266944,-1.213533,0.186875,-1.218206,1.256521,0.000000,0.000000,0.000000
1.423000,0,0.470929,0.237623,-1.212997,0.161244,-1.243837,1.246526,0.000000,0.000000,0.000000
1.473000,0,0.470926,0.205275,-0.583102,0.172426,-1.232656,0.641776,0.000000,0.000000,0.000000
1.523000,0,0.470925,0.227473,-0.557724,0.178671,-1.226410,0.628271,0.000000,0.000000,0.000000
1.573000,0,0.470926,0.144293,0.870761,-0.044501,-1.449582,0.883756,0.000000,0.000000,0.000000
1.623000,0,0.470926,0.140423,0.772448,-0.163570,-1.568651,0.801967,0.000000,0.000000,0.000000
1.673000,0,0.470926,0.152026,0.834024,-0.190561,-1.595642,0.868919,0.000000,0.000000,0.000000
1.723000,0,0.470923,0.214150,-0.111621,0.118899,-1.286182,0.269177,0.000000,0.000000,0.000000
1.773000,0,0.470924,0.236885,-0.397530,0.135528,-1.269553,0.482196,0.000000,0.000000,0.000000
1.823000,0,0.470925,0.216000,0.329682,-0.095198,-1.500279,0.405474,0.000000,0.000000,0.000000
1.873000,0,0.470927,0.200525,0.676289,-0.170203,-1.575284,0.725635,0.000000,0.000000,0.000000
1.923000,0,0.470929,0.223347,0.525666,-0.150257,-1.555338,0.590581,0.000000,0.000000,0.000000
1.973000,0,0.470928,0.216151,0.520451,-0.167405,-1.572486,0.587890,0.000000,0.000000,0.000000
2.023000,0,0.470926,0.212847,0.518403,-0.177708,-1.582789,0.587899,0.000000,0.000000,0.000000
2.073000,0,0.470930,0.202855,0.784846,-0.173758,-1.578839,0.829051,0.000000,0.000000,0.000000
2.123000,1,0.470729,0.082020,0.790512,0.900599,-0.504482,1.201131,0.000000,0.000000,0.000000
2.173000,1,0.470184,0.207902,0.547982,0.291938,-1.113143,0.654779,0.000000,0.000000,0.000000
2.223000,1,0.469388,0.252485,0.248822,-0.069074,-1.474156,0.361154,0.000000,0.000000,0.000000
2.273000,1,0.468548,0.319720,0.439028,-0.334932,-1.740013,0.638080,0.000000,0.000000,0.000000
2.323000,1,0.467780,0.325540,0.322742,-0.429465,-1.834547,0.628155,0.000000,0.000000,0.000000
2.373000,1,0.467111,0.301865,0.514217,-0.374724,-1.779806,0.704244,0.000000,0.000000,0.000000
2.423000,1,0.466539,0.252925,0.431925,-0.290864,-1.695945,0.578906,0.000000,0.000000,0.000000
2.473000,1,0.466037,0.296649,-0.544449,0.007534,-1.397547,0.620066,0.000000,0.000000,0.000000
2.523000,1,0.465571,0.243267,-0.509577,0.136791,-1.268290,0.580998,0.000000,0.000000,0.000000
2.573000,1,0.465118,0.178285,0.258917,0.106055,-1.299026,0.331770,0.000000,0.000000,0.000000
2.623000,1,0.464656,0.204553,-0.417396,0.202009,-1.203072,0.506822,0.000000,0.000000,0.000000
2.673000,1,0.464181,0.210052,-0.494484,0.212815,-1.192266,0.577863,0.000000,0.000000,0.000000
2.723000,1,0.463692,0.209055,-0.598019,0.195797,-1.209284,0.663074,0.000000,0.000000,0.000000
2.773000,1,0.463191,0.211693,-0.599134,0.175735,-1.229346,0.659286,0.000000,0.000000,0.000000
2.823000,1,0.462686,0.215153,-0.598924,0.163856,-1.241225,0.657153,0.000000,0.000000,0.000000
2.873000,1,0.462181,0.219475,-0.598557,0.156284,-1.248797,0.656403,0.000000,0.000000,0.000000
2.923000,1,0.461679,0.222163,-0.479683,0.154270,-1.250811,0.550683,0.000000,0.000000,0.000000
2.973000,1,0.461180,0.225362,-0.227211,0.153246,-1.251836,0.354820,0.000000,0.000000,0.000000
3.023000,1,0.460683,0.232177,-0.041316,0.153641,-1.251440,0.281458,0.000000,0.000000,0.000000
3.073000,1,0.460186,0.234456,-0.052927,0.152959,-1.252122,0.284899,0.000000,0.000000,0.000000
3.123000,1,0.459690,0.229875,-0.819969,0.154560,-1.250521,0.865494,0.000000,0.000000,0.000000
3.173000,1,0.459194,0.243458,-0.563912,0.152186,-1.252895,0.632795,0.000000,0.000000,0.000000
3.223000,1,0.458699,0.211814,0.586753,-0.197436,-1.602517,0.654313,0.000000,0.000000,0.000000
3.273000,1,0.458203,0.225458,0.606493,-0.162873,-1.567954,0.667228,0.000000,0.000000,0.000000
3.323000,1,0.457706,0.219358,0.610830,-0.161168,-1.566249,0.668735,0.000000,0.000000,0.000000
3.373000,1,0.457209,0.212036,0.610504,-0.164344,-1.569425,0.666846,0.000000,0.000000,0.000000
3.423000,1,0.456711,0.201981,0.609883,-0.165164,-1.570245,0.663349,0.000000,0.000000,0.000000
3.473000,1,0.456212,0.191915,0.609822,-0.167045,-1.572126,0.660771,0.000000,0.000000,0.000000
3.523000,1,0.455714,0.182207,0.610209,-0.169465,-1.574546,0.658994,0.000000,0.000000,0.000000
3.573000,1,0.455215,0.172910,0.611596,-0.171797,-1.576878,0.658378,0.000000,0.000000,0.000000
3.623000,1,0.454716,0.164373,0.613197,-0.174308,-1.579390,0.658341,0.000000,0.000000,0.000000
3.673000,1,0.454216,0.156605,0.615532,-0.177160,-1.582241,0.659387,0.000000,0.000000,0.000000
