# Experiment start time: 1751962791.960412 seconds
# Local time: 20250708_161951
# Control phases: 0=CALIBRATION, 4=TRAJECTORY, 5=PAUSE_AT_TARGET, 6=PROBE_DESCENT, 7=PROBE_PAUSE, 8=CIRCULAR_MOTION
# Target force: 2.000000N
# Logging frequency: real-time (no artificial limits)
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,energy_level,energy_scale_factor
1751962791.945975,8,0.479913,0.087468,0.180482,-0.006405,-0.132782,-0.319108,-629.281189,0.345691,7.441534,1.000000
1751962791.960943,8,0.479913,0.087468,0.180482,-0.006405,-0.132782,-0.319108,-629.281189,0.345691,7.441534,1.000000
1751962791.971014,8,0.479913,0.087468,0.180482,0.009339,-0.184381,-0.327516,-629.333069,0.375966,7.441534,1.000000
1751962791.982009,8,0.479913,0.087468,0.180482,0.009339,-0.184381,-0.327516,-629.333069,0.375966,7.441534,1.000000
1751962791.992100,8,0.479913,0.087468,0.180482,0.009339,-0.184381,-0.327516,-629.333069,0.375966,7.441534,1.000000
1751962792.003067,8,0.479913,0.087468,0.180482,0.009339,-0.184381,-0.327516,-629.333069,0.375966,7.441534,1.000000
1751962792.014032,8,0.479913,0.087468,0.180482,0.009339,-0.184381,-0.327516,-629.333069,0.375966,7.441534,1.000000
1751962792.025003,8,0.479913,0.087468,0.180482,-0.010004,-0.101428,-0.327312,-629.347290,0.342813,7.441534,1.000000
1751962792.035040,8,0.479913,0.087468,0.180482,-0.010004,-0.101428,-0.327312,-629.347290,0.342813,7.441534,1.000000
1751962792.045974,8,0.479913,0.087468,0.180482,-0.010004,-0.101428,-0.327312,-629.347290,0.342813,7.441534,1.000000
1751962792.056032,8,0.479913,0.087468,0.180482,-0.010004,-0.101428,-0.327312,-629.347290,0.342813,7.441534,1.000000
1751962792.067063,8,0.479913,0.087468,0.180482,0.004480,-0.134488,-0.322421,-629.279907,0.349374,7.441534,1.000000
1751962792.078023,8,0.479913,0.087468,0.180482,0.004480,-0.134488,-0.322421,-629.279907,0.349374,7.441534,1.000000
