# Experiment start time: 1751960984.872903 seconds
# Local time: 20250708_154944
# Control phases: 0=CALIBRATION, 4=TRAJECTORY, 5=PAUSE_AT_TARGET, 6=PROBE_DESCENT, 7=PROBE_PAUSE, 8=CIRCULAR_MOTION
# Target force: 2.000000N
# Logging frequency: real-time (no artificial limits)
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,energy_level,energy_scale_factor
1751960984.859547,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.873683,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.874631,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.875546,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.876554,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.877544,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.878655,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.879603,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.880584,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.881551,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.882599,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.883556,8,0.479863,0.087476,0.180508,0.060133,-0.154948,-0.235000,-626.384094,0.287837,7.449056,1.000000
1751960984.884567,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.885551,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.886539,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.887597,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.888573,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.889568,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.890553,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.891581,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
1751960984.892574,8,0.479863,0.087476,0.180508,0.071111,-0.111419,-0.225454,-626.291382,0.261344,7.449056,1.000000
