# Experiment start time: 0.082000 seconds
# Local time: 20250609_150436
# Control phase description: 0=CALIBRATION, 1=APPROACH, 2=CONTACT_CONFIRMATION, 3=DEPTH_CONTROL, 4=TRAJECTORY
# Soft block physical properties: Young's modulus=300000.000000Pa, Poisson ratio=0.450000
# Target force: 10.000000N
# Contact model parameters: Radius=0.002000m, Depth threshold=0.000100m
# Logging frequency: 0.05 seconds
# Force plot topics: /force_plot/force_z, /force_plot/theoretical_force
# ---------------------------------------
time,phase,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,depth,surface_z,theoretical_force
0.553000,0,0.471005,-1.545032,0.272417,0.283375,-1.406954,1.594251,0.000000,0.000000,0.000000
0.563000,0,0.471007,-1.528515,0.326848,0.273733,-1.407230,1.586857,0.000000,0.000000,0.000000
0.573000,0,0.471006,-1.503730,0.477581,0.245449,-1.426919,1.596726,0.000000,0.000000,0.000000
0.583000,0,0.471002,-1.479146,0.228437,0.186762,-1.477616,1.508289,0.000000,0.000000,0.000000
0.593000,0,0.470994,-1.470932,-0.078226,0.410245,-1.247613,1.529072,0.000000,0.000000,0.000000
0.603000,0,0.470984,-1.426839,-0.370303,0.380777,-1.270744,1.522493,0.000000,0.000000,0.000000
0.613000,0,0.470976,0.004729,-0.425144,0.098750,-1.254649,0.436488,0.000000,0.000000,0.000000
0.623000,0,0.470968,-0.014557,-0.642314,0.144847,-1.208869,0.658605,0.000000,0.000000,0.000000
0.633000,0,0.470959,0.003583,-0.467503,0.149871,-1.202398,0.490951,0.000000,0.000000,0.000000
0.643000,0,0.470950,0.010694,-0.362790,0.136386,-1.216130,0.387727,0.000000,0.000000,0.000000
0.653000,0,0.470942,0.019018,-0.573979,0.119406,-1.236480,0.586576,0.000000,0.000000,0.000000
0.663000,0,0.470931,0.023157,-0.597435,0.106919,-1.254270,0.607369,0.000000,0.000000,0.000000
0.673000,0,0.470919,0.039900,-0.332441,0.100447,-1.265592,0.349569,0.000000,0.000000,0.000000
0.683000,0,0.470908,0.043787,-0.672335,0.110850,-1.261026,0.682817,0.000000,0.000000,0.000000
0.693000,0,0.470897,0.054142,-0.656563,0.085832,-1.291098,0.664360,0.000000,0.000000,0.000000
0.703000,0,0.470889,0.069198,-0.647974,0.120437,-1.259741,0.662694,0.000000,0.000000,0.000000
0.713000,0,0.470879,0.075369,-0.624438,0.103112,-1.280420,0.637366,0.000000,0.000000,0.000000
0.723000,0,0.470869,0.103472,-0.593662,0.110478,-1.276080,0.612656,0.000000,0.000000,0.000000
0.733000,0,0.470861,0.121144,-0.409160,0.106747,-1.282470,0.439866,0.000000,0.000000,0.000000
0.743000,0,0.470853,0.140613,-0.416161,0.102866,-1.288979,0.451158,0.000000,0.000000,0.000000
0.753000,0,0.470845,0.148685,-0.416717,0.096647,-1.298143,0.452880,0.000000,0.000000,0.000000
0.763000,0,0.470838,0.161877,-0.426576,0.090444,-1.307380,0.465135,0.000000,0.000000,0.000000
0.773000,0,0.470832,0.167966,-0.659066,0.088414,-1.312372,0.685855,0.000000,0.000000,0.000000
0.783000,0,0.470826,0.190277,-0.666595,0.105957,-1.297655,0.701271,0.000000,0.000000,0.000000
0.793000,0,0.470821,0.216778,-0.557737,0.099756,-1.305609,0.606642,0.000000,0.000000,0.000000
0.803000,0,0.470817,0.230467,-0.549018,0.109277,-1.297714,0.605374,0.000000,0.000000,0.000000
0.813000,0,0.470815,0.239502,-0.755162,0.111838,-1.296978,0.800086,0.000000,0.000000,0.000000
