# Experiment start time: 0.067000 seconds
# Local time: 20250605_140610
# Control phase description: 0=CALIBRATION, 1=APPROACH, 2=CONTACT_CONFIRMATION, 3=DEPTH_CONTROL, 4=TRAJECTORY
# Soft block physical properties: Young's modulus=300000.000000Pa, Poisson ratio=0.450000
# Target force: 10.000000N
# Contact model parameters: Radius=0.002000m, Depth threshold=0.000100m
# Logging frequency: 0.05 seconds
# Force plot topics: /force_plot/force_z, /force_plot/theoretical_force
# ---------------------------------------
time,phase,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,depth,surface_z,theoretical_force
0.117000,0,0.473624,1.505896,2.328672,-0.793511,0.352558,2.884458,0.000000,0.000000,0.000000
0.167000,0,0.472382,0.076525,0.927769,0.012934,-0.614059,0.931010,0.000000,0.000000,0.000000
0.217000,0,0.471872,1.032427,0.380216,-2.026750,-2.922531,2.306119,0.000000,0.000000,0.000000
0.267000,0,0.471540,-0.150569,-0.371021,-0.552803,-1.683294,0.682582,0.000000,0.000000,0.000000
0.317000,0,0.471153,-0.508786,-1.155243,-0.148718,-1.475354,1.271049,0.000000,0.000000,0.000000
0.367000,0,0.471103,-0.753491,-1.210778,-0.331304,-1.711738,1.464068,0.000000,0.000000,0.000000
0.417000,0,0.471137,-1.258217,-0.905517,0.145673,-1.257995,1.557014,0.000000,0.000000,0.000000
0.467000,0,0.471164,-1.462471,-0.946502,0.213020,-1.197201,1.755012,0.000000,0.000000,0.000000
0.517000,0,0.471222,-1.550950,-0.530008,0.121332,-1.278684,1.643495,0.000000,0.000000,0.000000
0.567000,0,0.471247,-1.580330,0.166787,-0.069780,-1.461480,1.590639,0.000000,0.000000,0.000000
0.617000,0,0.471237,-0.031970,0.528104,-0.157903,-1.494911,0.552132,0.000000,0.000000,0.000000
0.667000,0,0.471213,0.012099,-0.761538,0.074957,-1.272431,0.765314,0.000000,0.000000,0.000000
0.717000,0,0.471181,0.090194,-0.370595,0.101243,-1.261731,0.394621,0.000000,0.000000,0.000000
0.767000,0,0.471150,0.191040,-0.531078,0.102048,-1.276027,0.573545,0.000000,0.000000,0.000000
0.817000,0,0.471133,0.284530,-0.523365,0.100791,-1.287979,0.604175,0.000000,0.000000,0.000000
0.867000,0,0.471128,0.364293,-0.524778,0.114889,-1.281023,0.649077,0.000000,0.000000,0.000000
0.917000,0,0.471133,0.420029,-0.524678,0.125613,-1.274409,0.683732,0.000000,0.000000,0.000000
0.967000,0,0.471146,0.445980,-0.524269,0.136125,-1.265742,0.701632,0.000000,0.000000,0.000000
1.017000,0,0.471161,0.446234,-0.356168,0.143315,-1.259054,0.588659,0.000000,0.000000,0.000000
1.067000,0,0.471176,0.413764,-0.319148,0.140335,-1.262100,0.541063,0.000000,0.000000,0.000000
1.117000,0,0.471190,0.384051,-0.538059,0.137392,-1.264829,0.675188,0.000000,0.000000,0.000000
1.167000,0,0.471203,0.363585,-0.844837,0.158386,-1.243835,0.933289,0.000000,0.000000,0.000000
1.217000,0,0.471211,0.324128,-0.955831,0.151605,-1.250615,1.020616,0.000000,0.000000,0.000000
1.267000,0,0.471215,0.320575,-0.379503,0.165175,-1.237046,0.523520,0.000000,0.000000,0.000000
1.317000,0,0.471213,0.275713,-0.248223,0.132114,-1.270107,0.393810,0.000000,0.000000,0.000000
1.367000,0,0.471207,0.236283,-0.086643,0.140988,-1.261232,0.288469,0.000000,0.000000,0.000000
1.417000,0,0.471198,0.206087,-0.083416,0.140064,-1.262156,0.262770,0.000000,0.000000,0.000000
1.467000,0,0.471191,0.180110,-0.081699,0.137253,-1.264967,0.240733,0.000000,0.000000,0.000000
1.517000,0,0.471186,0.160659,-0.563262,0.142605,-1.259615,0.602837,0.000000,0.000000,0.000000
1.567000,0,0.471184,0.156245,-1.004025,0.147354,-1.254866,1.026738,0.000000,0.000000,0.000000
1.617000,0,0.471185,0.164094,-1.272308,0.150676,-1.251544,1.291664,0.000000,0.000000,0.000000
1.667000,0,0.471189,0.178534,-1.603364,0.157055,-1.245166,1.620900,0.000000,0.000000,0.000000
1.717000,0,0.471192,0.218965,-1.146942,0.165884,-1.236336,1.179380,0.000000,0.000000,0.000000
1.767000,0,0.471193,0.238016,-0.184754,0.102420,-1.299801,0.318238,0.000000,0.000000,0.000000
1.817000,0,0.471193,0.270136,-0.002598,0.104716,-1.297504,0.289733,0.000000,0.000000,0.000000
1.867000,0,0.471191,0.246603,0.395338,-0.031746,-1.433967,0.467026,0.000000,0.000000,0.000000
1.917000,0,0.471190,0.252516,-0.362210,0.131735,-1.270486,0.460776,0.000000,0.000000,0.000000
1.967000,0,0.471191,0.239725,-0.369606,0.143318,-1.258903,0.463267,0.000000,0.000000,0.000000
2.017000,0,0.471192,0.240004,-0.369748,0.144563,-1.257658,0.463911,0.000000,0.000000,0.000000
2.067000,0,0.471192,0.237291,-0.369658,0.145459,-1.256762,0.462723,0.000000,0.000000,0.000000
2.117000,1,0.470984,0.101215,-0.343851,1.211872,-0.190348,1.263769,0.000000,0.000000,0.000000
2.167000,1,0.470433,0.214246,-0.489366,0.587293,-0.814927,0.793910,0.000000,0.000000,0.000000
2.217000,1,0.469637,0.245231,-1.482207,0.258577,-1.143644,1.524446,0.000000,0.000000,0.000000
2.267000,1,0.468797,0.350839,-1.042298,-0.011234,-1.413455,1.099818,0.000000,0.000000,0.000000
2.317000,1,0.468029,0.372487,-0.773568,-0.108490,-1.510710,0.865404,0.000000,0.000000,0.000000
2.367000,1,0.467356,0.346885,-0.768441,-0.074542,-1.476763,0.846397,0.000000,0.000000,0.000000
2.417000,1,0.466781,0.317630,-0.742899,-0.015294,-1.417514,0.808097,0.000000,0.000000,0.000000
2.467000,1,0.466275,0.285872,1.396386,0.048781,-1.353440,1.426182,0.000000,0.000000,0.000000
2.517000,1,0.465805,0.212333,0.512075,0.114175,-1.288046,0.565988,0.000000,0.000000,0.000000
2.567000,1,0.465351,0.189840,-0.406427,0.143982,-1.258239,0.471119,0.000000,0.000000,0.000000
2.617000,1,0.464891,0.153673,-0.793877,0.177623,-1.224597,0.827892,0.000000,0.000000,0.000000
2.667000,1,0.464420,0.163307,-0.821421,0.181030,-1.221190,0.856839,0.000000,0.000000,0.000000
2.717000,1,0.463937,0.174633,-1.130966,0.189911,-1.212309,1.160021,0.000000,0.000000,0.000000
2.767000,1,0.463444,0.177841,-0.959088,0.185435,-1.216786,0.992906,0.000000,0.000000,0.000000
2.817000,1,0.462945,0.224512,-0.640411,0.162236,-1.239985,0.697748,0.000000,0.000000,0.000000
2.867000,1,0.462442,0.230023,-0.455852,0.150999,-1.251221,0.532459,0.000000,0.000000,0.000000
2.917000,1,0.461938,0.236717,-0.487686,0.148979,-1.253241,0.562199,0.000000,0.000000,0.000000
2.967000,1,0.461436,0.248117,-0.096408,0.144221,-1.257999,0.302748,0.000000,0.000000,0.000000
3.017000,1,0.460936,0.251985,-0.241920,0.160965,-1.241255,0.384619,0.000000,0.000000,0.000000
3.067000,1,0.460438,0.205156,0.996657,-0.179529,-1.581750,1.033269,0.000000,0.000000,0.000000
3.117000,1,0.459939,0.204009,0.345161,-0.171617,-1.573837,0.436129,0.000000,0.000000,0.000000
3.167000,1,0.459442,0.198939,0.001248,-0.174803,-1.577023,0.264829,0.000000,0.000000,0.000000
3.217000,1,0.458945,0.197185,0.137758,-0.167010,-1.569230,0.292834,0.000000,0.000000,0.000000
3.267000,1,0.458449,0.200769,0.360075,-0.200804,-1.603024,0.458568,0.000000,0.000000,0.000000
3.317000,1,0.457954,0.200994,0.359007,-0.166473,-1.568693,0.443845,0.000000,0.000000,0.000000
3.367000,1,0.457458,0.200490,0.395009,-0.165727,-1.567948,0.472963,0.000000,0.000000,0.000000
3.417000,1,0.456959,0.200754,0.811248,-0.147024,-1.549244,0.848553,0.000000,0.000000,0.000000
3.467000,1,0.456461,0.194686,0.610643,-0.150650,-1.552870,0.658394,0.000000,0.000000,0.000000
3.517000,1,0.455959,0.231329,-0.142155,0.082663,-1.319558,0.283821,0.000000,0.000000,0.000000
3.567000,1,0.455463,0.175458,0.522576,-0.121174,-1.523395,0.564406,0.000000,0.000000,0.000000
3.617000,1,0.454962,0.230655,-0.309358,0.155590,-1.246631,0.416068,0.000000,0.000000,0.000000
3.667000,1,0.454464,0.222855,-0.314252,0.159811,-1.242410,0.417082,0.000000,0.000000,0.000000
3.717000,1,0.453964,0.231893,-0.727724,0.161344,-1.240876,0.780633,0.000000,0.000000,0.000000
3.767000,1,0.453464,0.235204,-0.879445,0.153769,-1.248451,0.923249,0.000000,0.000000,0.000000
3.817000,1,0.452966,0.233753,-0.608151,0.149112,-1.253108,0.668373,0.000000,0.000000,0.000000
3.867000,1,0.452470,0.238156,-0.608690,0.164008,-1.238213,0.673884,0.000000,0.000000,0.000000
3.917000,1,0.451974,0.224842,-0.405540,0.139051,-1.263170,0.484099,0.000000,0.000000,0.000000
3.967000,1,0.451476,0.235236,-0.363912,0.147749,-1.254472,0.457819,0.000000,0.000000,0.000000
4.017000,1,0.450981,0.201135,0.765319,-0.098404,-1.500625,0.797403,0.000000,0.000000,0.000000
4.067000,1,0.450482,0.226866,-0.132580,0.165595,-1.236625,0.310592,0.000000,0.000000,0.000000
4.117000,1,0.449983,0.229576,-0.683481,0.158510,-1.243710,0.738225,0.000000,0.000000,0.000000
4.167000,1,0.449484,0.234126,-0.663124,0.143545,-1.258676,0.717742,0.000000,0.000000,0.000000
4.217000,1,0.448985,0.215057,-0.591725,0.146446,-1.255775,0.646401,0.000000,0.000000,0.000000
4.267000,1,0.448487,0.243359,-0.843031,0.133320,-1.268901,0.887524,0.000000,0.000000,0.000000
