# Experiment start time: 1753165630.486964 seconds
# Local time: 20250722_142710
# Control phases: 0=CALIBRATION, 4=TRAJECTORY, 5=PAUSE_AT_TARGET, 6=PROBE_DESCENT, 7=PROBE_PAUSE, 8=CIRCULAR_MOTION
# Target force: 2.000000N
# Logging frequency: real-time (no artificial limits)
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,energy_level,energy_scale_factor
1753165630.473164,8,0.479922,0.087465,0.180781,0.059778,0.006381,-0.494327,-484.635803,0.497969,7.459903,1.000000
1753165630.487527,8,0.479922,0.087465,0.180781,0.059778,0.006381,-0.494327,-484.635803,0.497969,7.459903,1.000000
1753165630.498080,8,0.479922,0.087465,0.180781,0.032070,0.021623,-0.513855,-484.542633,0.515308,7.459903,1.000000
1753165630.508161,8,0.479922,0.087465,0.180781,0.032070,0.021623,-0.513855,-484.542633,0.515308,7.459903,1.000000
1753165630.519091,8,0.479922,0.087465,0.180781,0.032070,0.021623,-0.513855,-484.542633,0.515308,7.459888,1.000000
1753165630.529133,8,0.479922,0.087465,0.180781,0.032070,0.021623,-0.513855,-484.542633,0.515308,7.459888,1.000000
1753165630.540082,8,0.479922,0.087465,0.180781,0.032070,0.021623,-0.513855,-484.542633,0.515308,7.459888,1.000000
1753165630.550085,8,0.479922,0.087465,0.180781,0.037689,0.028628,-0.511399,-484.675995,0.513584,7.459888,1.000000
1753165630.560126,8,0.479922,0.087465,0.180781,0.037689,0.028628,-0.511399,-484.675995,0.513584,7.459888,1.000000
1753165630.570135,8,0.479922,0.087465,0.180781,0.037689,0.028628,-0.511399,-484.675995,0.513584,7.459888,1.000000
1753165630.580187,8,0.479922,0.087465,0.180781,0.037689,0.028628,-0.511399,-484.675995,0.513584,7.459888,1.000000
1753165630.591037,8,0.479922,0.087465,0.180781,0.037689,0.028628,-0.511399,-484.675995,0.513584,7.459888,1.000000
1753165630.601120,8,0.479922,0.087465,0.180781,0.033960,0.023884,-0.509797,-484.529022,0.511485,7.459888,1.000000
1753165630.612135,8,0.479922,0.087465,0.180781,0.033960,0.023884,-0.509797,-484.529022,0.511485,7.459888,1.000000
1753165630.623074,8,0.479922,0.087465,0.180781,0.033960,0.023884,-0.509797,-484.529022,0.511485,7.459888,1.000000
1753165630.634125,8,0.479922,0.087465,0.180781,0.033960,0.023884,-0.509797,-484.529022,0.511485,7.459888,1.000000
1753165630.645133,8,0.479922,0.087465,0.180781,0.045333,0.011680,-0.517356,-484.662415,0.519469,7.459888,1.000000
1753165630.656049,8,0.479922,0.087465,0.180781,0.045333,0.011680,-0.517356,-484.662415,0.519469,7.459888,1.000000
1753165630.667068,8,0.479922,0.087465,0.180781,0.045333,0.011680,-0.517356,-484.662415,0.519469,7.459846,1.000000
1753165630.677093,8,0.479922,0.087465,0.180781,0.045333,0.011680,-0.517356,-484.662415,0.519469,7.459846,1.000000
1753165630.688094,8,0.479922,0.087465,0.180781,0.038516,-0.005939,-0.503212,-484.635742,0.504719,7.459846,1.000000
1753165630.698158,8,0.479922,0.087465,0.180781,0.038516,-0.005939,-0.503212,-484.635742,0.504719,7.459846,1.000000
1753165630.709183,8,0.479922,0.087465,0.180781,0.038516,-0.005939,-0.503212,-484.635742,0.504719,7.459846,1.000000
1753165630.720069,8,0.479922,0.087465,0.180781,0.038516,-0.005939,-0.503212,-484.635742,0.504719,7.459846,1.000000
1753165630.730120,8,0.479922,0.087465,0.180781,0.038516,-0.005939,-0.503212,-484.635742,0.504719,7.459820,1.000000
1753165630.740133,8,0.479922,0.087465,0.180781,0.040929,0.031773,-0.494354,-484.609375,0.497062,7.459820,1.000000
1753165630.751114,8,0.479922,0.087465,0.180781,0.040929,0.031773,-0.494354,-484.609375,0.497062,7.459820,1.000000
1753165630.761122,8,0.479922,0.087465,0.180781,0.040929,0.031773,-0.494354,-484.609375,0.497062,7.459784,1.000000
1753165630.772058,8,0.479922,0.087465,0.180781,0.040929,0.031773,-0.494354,-484.609375,0.497062,7.459784,1.000000
1753165630.782075,8,0.479922,0.087465,0.180781,0.040929,0.031773,-0.494354,-484.609375,0.497062,7.459784,1.000000
1753165630.792176,8,0.479922,0.087465,0.180781,0.026504,0.019997,-0.505834,-484.622070,0.506922,7.459784,1.000000
1753165630.803100,8,0.479922,0.087465,0.180781,0.026504,0.019997,-0.505834,-484.622070,0.506922,7.459784,1.000000
1753165630.814072,8,0.479922,0.087465,0.180781,0.026504,0.019997,-0.505834,-484.622070,0.506922,7.459784,1.000000
1753165630.824088,8,0.479922,0.087465,0.180781,0.026504,0.019997,-0.505834,-484.622070,0.506922,7.459784,1.000000
1753165630.834096,8,0.479922,0.087465,0.180781,0.014579,-0.013675,-0.506859,-484.609009,0.507253,7.459784,1.000000
1753165630.844145,8,0.479922,0.087465,0.180781,0.014579,-0.013675,-0.506859,-484.609009,0.507253,7.459784,1.000000
1753165630.855066,8,0.479922,0.087465,0.180781,0.014579,-0.013675,-0.506859,-484.609009,0.507253,7.459772,1.000000
1753165630.865150,8,0.479922,0.087465,0.180781,0.014579,-0.013675,-0.506859,-484.609009,0.507253,7.459772,1.000000
1753165630.876220,8,0.479922,0.087465,0.180781,0.014579,-0.013675,-0.506859,-484.609009,0.507253,7.459762,1.000000
1753165630.887133,8,0.479922,0.087465,0.180781,0.021919,0.010250,-0.514388,-484.569122,0.514957,7.459762,1.000000
1753165630.898135,8,0.479922,0.087465,0.180781,0.021919,0.010250,-0.514388,-484.569122,0.514957,7.459762,1.000000
1753165630.909101,8,0.479922,0.087465,0.180781,0.021919,0.010250,-0.514388,-484.569122,0.514957,7.459763,1.000000
1753165630.919139,8,0.479922,0.087465,0.180781,0.021919,0.010250,-0.514388,-484.569122,0.514957,7.459763,1.000000
1753165630.929287,8,0.479922,0.087465,0.180781,0.050692,0.004645,-0.513623,-484.595825,0.516139,7.459763,1.000000
1753165630.940068,8,0.479922,0.087465,0.180781,0.050692,0.004645,-0.513623,-484.595825,0.516139,7.459748,1.000000
1753165630.951061,8,0.479922,0.087465,0.180781,0.050692,0.004645,-0.513623,-484.595825,0.516139,7.459748,1.000000
1753165630.961132,8,0.479922,0.087465,0.180781,0.050692,0.004645,-0.513623,-484.595825,0.516139,7.459748,1.000000
1753165630.971147,8,0.479922,0.087465,0.180781,0.050692,0.004645,-0.513623,-484.595825,0.516139,7.459745,1.000000
1753165630.981334,8,0.479922,0.087465,0.180781,0.006027,0.014827,-0.518679,-484.529724,0.518926,7.459745,1.000000
1753165630.992047,8,0.479922,0.087465,0.180781,0.006027,0.014827,-0.518679,-484.529724,0.518926,7.459745,1.000000
1753165631.002089,8,0.479922,0.087465,0.180781,0.006027,0.014827,-0.518679,-484.529724,0.518926,7.459707,1.000000
1753165631.012099,8,0.479922,0.087465,0.180781,0.006027,0.014827,-0.518679,-484.529724,0.518926,7.459707,1.000000
1753165631.022101,8,0.479922,0.087465,0.180781,0.006027,0.014827,-0.518679,-484.529724,0.518926,7.459707,1.000000
1753165631.033144,8,0.479922,0.087465,0.180781,0.048465,0.014798,-0.504772,-484.595764,0.507309,7.459687,1.000000
1753165631.044087,8,0.479922,0.087465,0.180781,0.048465,0.014798,-0.504772,-484.595764,0.507309,7.459687,1.000000
1753165631.055036,8,0.479922,0.087465,0.180781,0.048465,0.014798,-0.504772,-484.595764,0.507309,7.459687,1.000000
1753165631.065138,8,0.479922,0.087465,0.180781,0.048465,0.014798,-0.504772,-484.595764,0.507309,7.459687,1.000000
1753165631.076080,8,0.479922,0.087465,0.180781,0.036524,-0.004302,-0.522377,-484.529694,0.523670,7.459687,1.000000
1753165631.086081,8,0.479922,0.087465,0.180781,0.036524,-0.004302,-0.522377,-484.529694,0.523670,7.459687,1.000000
1753165631.097226,8,0.479922,0.087465,0.180781,0.036524,-0.004302,-0.522377,-484.529694,0.523670,7.459687,1.000000
1753165631.108054,8,0.479922,0.087465,0.180781,0.036524,-0.004302,-0.522377,-484.529694,0.523670,7.459687,1.000000
1753165631.118145,8,0.479922,0.087465,0.180781,0.036524,-0.004302,-0.522377,-484.529694,0.523670,7.459687,1.000000
1753165631.128155,8,0.479922,0.087465,0.180781,0.005659,-0.004329,-0.505909,-484.542572,0.505959,7.459687,1.000000
1753165631.139101,8,0.479922,0.087465,0.180781,0.005659,-0.004329,-0.505909,-484.542572,0.505959,7.459687,1.000000
1753165631.149176,8,0.479922,0.087465,0.180781,0.005659,-0.004329,-0.505909,-484.542572,0.505959,7.459679,1.000000
1753165631.160125,8,0.479922,0.087465,0.180781,0.005659,-0.004329,-0.505909,-484.542572,0.505959,7.459679,1.000000
1753165631.171119,8,0.479922,0.087465,0.180781,0.045264,0.013784,-0.508979,-484.569183,0.511174,7.459679,1.000000
