# Experiment start time: 0.059000 seconds
# Local time: 20250605_105731
# Control phase description: 0=CALIBRATION, 1=APPROACH, 2=CONTACT_CONFIRMATION, 3=DEPTH_CONTROL, 4=TRAJECTORY
# Soft block physical properties: Young's modulus=300000.000000Pa, Poisson ratio=0.450000
# Target force: 10.000000N
# Contact model parameters: Radius=0.002000m, Depth threshold=0.000100m
# Logging frequency: 0.05 seconds
# Force plot topics: /force_plot/force_z, /force_plot/theoretical_force
# ---------------------------------------
time,phase,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,depth,surface_z,theoretical_force
0.109000,0,0.473372,0.211260,-0.111672,1.796968,1.444757,1.812786,0.000000,0.000000,0.000000
0.159000,0,0.472086,0.688596,0.147964,-0.399765,-2.044023,0.809858,0.000000,0.000000,0.000000
0.209000,0,0.472016,0.906501,-0.291457,-1.207178,-2.797811,1.537521,0.000000,0.000000,0.000000
0.259000,0,0.471835,-0.360383,-0.687045,0.549034,-1.162334,0.950445,0.000000,0.000000,0.000000
0.309000,0,0.471734,-0.317366,0.184233,-0.050180,-1.789340,0.370380,0.000000,0.000000,0.000000
0.359000,0,0.471906,-0.650857,-0.102047,-0.074796,-1.753577,0.663041,0.000000,0.000000,0.000000
0.409000,0,0.472009,-1.054972,0.015500,0.286572,-1.351474,1.093311,0.000000,0.000000,0.000000
0.459000,0,0.472072,-1.137895,0.089768,0.154770,-1.441844,1.151876,0.000000,0.000000,0.000000
0.509000,0,0.472125,-1.228058,0.237003,0.086934,-1.470866,1.253736,0.000000,0.000000,0.000000
0.559000,0,0.472115,-1.239760,0.197832,0.088422,-1.444951,1.258555,0.000000,0.000000,0.000000
0.609000,0,0.472079,-0.005808,0.598241,-0.167470,-1.518794,0.621266,0.000000,0.000000,0.000000
0.659000,0,0.472037,0.015333,0.556604,-0.188441,-1.555921,0.587837,0.000000,0.000000,0.000000
0.709000,0,0.471994,0.063548,0.544289,-0.185993,-1.571565,0.578690,0.000000,0.000000,0.000000
0.759000,0,0.471963,0.134921,0.445744,-0.191068,-1.588614,0.503387,0.000000,0.000000,0.000000
0.809000,0,0.471948,0.205034,0.462203,-0.180804,-1.585500,0.536993,0.000000,0.000000,0.000000
0.859000,0,0.471945,0.264421,0.474195,-0.170815,-1.579538,0.569172,0.000000,0.000000,0.000000
0.909000,0,0.471953,0.304984,0.483360,-0.164920,-1.575279,0.594853,0.000000,0.000000,0.000000
0.959000,0,0.471968,0.322106,0.490746,-0.159730,-1.570343,0.608357,0.000000,0.000000,0.000000
1.009000,0,0.471984,0.317796,0.780226,-0.156728,-1.566967,0.856919,0.000000,0.000000,0.000000
1.059000,0,0.472000,0.298950,0.470281,-0.155014,-1.563541,0.578416,0.000000,0.000000,0.000000
1.109000,0,0.472011,0.295181,0.173103,-0.153689,-1.562334,0.375122,0.000000,0.000000,0.000000
1.159000,0,0.472017,0.261863,0.176582,-0.160098,-1.568743,0.354097,0.000000,0.000000,0.000000
1.209000,0,0.472022,0.226552,0.316679,-0.149189,-1.557834,0.416976,0.000000,0.000000,0.000000
