# Experiment start time: 1752933400.487435 seconds
# Local time: 20250719_215640
# Control phases: 0=CALIBRATION, 4=TRAJECTORY, 5=PAUSE_AT_TARGET, 6=PROBE_DESCENT, 7=PROBE_PAUSE, 8=CIRCULAR_MOTION
# Target force: 2.000000N
# Logging frequency: real-time (no artificial limits)
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,raw_force_z,force_magnitude,energy_level,energy_scale_factor
1752933400.479395,8,0.479909,0.087468,0.179774,0.063619,-0.090597,-0.252726,-515.811584,0.275909,7.477957,1.000000
1752933400.489401,8,0.479909,0.087468,0.179774,0.063619,-0.090597,-0.252726,-515.811584,0.275909,7.477957,1.000000
1752933400.500356,8,0.479909,0.087468,0.179774,0.063619,-0.090597,-0.252726,-515.811584,0.275909,7.477957,1.000000
1752933400.510490,8,0.479909,0.087468,0.179774,0.040110,-0.086465,-0.269065,-515.904907,0.285449,7.477957,1.000000
1752933400.521418,8,0.479909,0.087468,0.179774,0.040110,-0.086465,-0.269065,-515.904907,0.285449,7.477957,1.000000
1752933400.532421,8,0.479909,0.087468,0.179774,0.040110,-0.086465,-0.269065,-515.904907,0.285449,7.477957,1.000000
1752933400.543494,8,0.479909,0.087468,0.179774,0.040110,-0.086465,-0.269065,-515.904907,0.285449,7.477957,1.000000
1752933400.554367,8,0.479909,0.087468,0.179774,0.042489,-0.081100,-0.267125,-515.851501,0.282380,7.477953,1.000000
1752933400.565426,8,0.479909,0.087468,0.179774,0.042489,-0.081100,-0.267125,-515.851501,0.282380,7.477953,1.000000
1752933400.576361,8,0.479909,0.087468,0.179774,0.042489,-0.081100,-0.267125,-515.851501,0.282380,7.477937,1.000000
1752933400.586450,8,0.479909,0.087468,0.179774,0.042489,-0.081100,-0.267125,-515.851501,0.282380,7.477937,1.000000
1752933400.597472,8,0.479909,0.087468,0.179774,0.040700,-0.078936,-0.259998,-515.798218,0.274747,7.477937,1.000000
1752933400.608341,8,0.479909,0.087468,0.179774,0.040700,-0.078936,-0.259998,-515.798218,0.274747,7.477934,1.000000
1752933400.618449,8,0.479909,0.087468,0.179774,0.040700,-0.078936,-0.259998,-515.798218,0.274747,7.477934,1.000000
1752933400.629444,8,0.479909,0.087468,0.179774,0.040700,-0.078936,-0.259998,-515.798218,0.274747,7.477934,1.000000
1752933400.640343,8,0.479909,0.087468,0.179774,0.040700,-0.078936,-0.259998,-515.798218,0.274747,7.477928,1.000000
1752933400.650412,8,0.479909,0.087468,0.179774,0.049003,-0.078735,-0.266677,-515.878174,0.282342,7.477928,1.000000
1752933400.660523,8,0.479909,0.087468,0.179774,0.049003,-0.078735,-0.266677,-515.878174,0.282342,7.477928,1.000000
1752933400.671353,8,0.479909,0.087468,0.179774,0.049003,-0.078735,-0.266677,-515.878174,0.282342,7.477928,1.000000
1752933400.681381,8,0.479909,0.087468,0.179774,0.049003,-0.078735,-0.266677,-515.878174,0.282342,7.477928,1.000000
1752933400.692412,8,0.479909,0.087468,0.179774,0.040391,-0.068884,-0.261220,-515.785095,0.273153,7.477928,1.000000
1752933400.703435,8,0.479909,0.087468,0.179774,0.040391,-0.068884,-0.261220,-515.825195,0.273153,7.477928,1.000000
1752933400.714374,8,0.479909,0.087468,0.179774,0.040391,-0.068884,-0.261220,-515.825195,0.273153,7.477928,1.000000
1752933400.725482,8,0.479909,0.087468,0.179774,0.040391,-0.068884,-0.261220,-515.825195,0.273153,7.477928,1.000000
1752933400.736344,8,0.479909,0.087468,0.179774,0.040391,-0.068884,-0.261220,-515.825195,0.273153,7.477928,1.000000
1752933400.746449,8,0.479909,0.087468,0.179774,0.044184,-0.044539,-0.251319,-515.878296,0.259032,7.477928,1.000000
1752933400.757416,8,0.479909,0.087468,0.179774,0.044184,-0.044539,-0.251319,-515.878296,0.259032,7.477919,1.000000
1752933400.767432,8,0.479909,0.087468,0.179774,0.044184,-0.044539,-0.251319,-515.878296,0.259032,7.477919,1.000000
1752933400.777494,8,0.479909,0.087468,0.179774,0.044184,-0.044539,-0.251319,-515.878296,0.259032,7.477919,1.000000
1752933400.788355,8,0.479909,0.087468,0.179774,0.051198,-0.081692,-0.276359,-515.864624,0.292693,7.477896,1.000000
1752933400.798381,8,0.479909,0.087468,0.179774,0.051198,-0.081692,-0.276359,-515.864624,0.292693,7.477896,1.000000
1752933400.809363,8,0.479909,0.087468,0.179774,0.051198,-0.081692,-0.276359,-515.864624,0.292693,7.477896,1.000000
1752933400.819428,8,0.479909,0.087468,0.179774,0.051198,-0.081692,-0.276359,-515.864624,0.292693,7.477873,1.000000
