time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
0.577000,1,0.311910,0.000235,0.534388,0.000000,0.000000,5.071496,5.071496,-0.029388,10.000000
0.587000,1,0.311964,0.000241,0.532984,0.000000,0.000000,5.020388,5.020388,-0.027984,10.000000
0.597000,1,0.312013,0.000243,0.531585,0.000000,0.000000,4.937387,4.937387,-0.026585,10.000000
0.607000,1,0.312066,0.000256,0.530182,0.000000,0.000000,5.143275,5.143275,-0.025182,10.000000
0.617000,1,0.312109,0.000261,0.528774,0.000000,0.000000,5.064087,5.064087,-0.023774,10.000000
0.627000,1,0.312153,0.000267,0.527365,0.000000,0.000000,4.990341,4.990341,-0.022365,10.000000
0.637000,1,0.312192,0.000274,0.525950,0.000000,0.000000,5.255461,5.255461,-0.020950,10.000000
0.647000,1,0.312230,0.000285,0.524542,0.000000,0.000000,5.164022,5.164022,-0.019542,10.000000
0.657000,1,0.312265,0.000291,0.523121,0.000000,0.000000,5.109112,5.109112,-0.018121,10.000000
0.667000,1,0.312294,0.000294,0.521707,0.000000,0.000000,5.022073,5.022073,-0.016707,10.000000
0.677000,1,0.312302,0.000376,0.521143,0.000000,0.000000,1.000000,1.000000,-0.016143,10.000000
0.687000,1,0.312291,0.000511,0.521136,0.000000,0.000000,1.000000,1.000000,-0.016136,10.000000
0.697000,1,0.312283,0.000622,0.521134,0.000000,0.000000,1.000000,1.000000,-0.016134,10.000000
0.707000,1,0.312274,0.000711,0.521130,0.000000,0.000000,1.000000,1.000000,-0.016130,10.000000
0.717000,1,0.312267,0.000782,0.521134,0.000000,0.000000,1.000000,1.000000,-0.016134,10.000000
0.727000,1,0.312261,0.000826,0.521127,0.000000,0.000000,1.000000,1.000000,-0.016127,10.000000
0.737000,1,0.312252,0.000855,0.521129,0.000000,0.000000,1.000000,1.000000,-0.016129,10.000000
0.747000,1,0.312252,0.000890,0.521130,0.000000,0.000000,1.000000,1.000000,-0.016130,10.000000
0.757000,1,0.312244,0.000913,0.521129,0.000000,0.000000,1.000000,1.000000,-0.016129,10.000000
0.767000,1,0.312241,0.000935,0.521128,0.000000,0.000000,1.000000,1.000000,-0.016128,10.000000
0.777000,1,0.312236,0.000957,0.521124,0.000000,0.000000,1.000000,1.000000,-0.016124,10.000000
0.787000,1,0.312233,0.000982,0.521129,0.000000,0.000000,1.000000,1.000000,-0.016129,10.000000
0.797000,1,0.312230,0.001001,0.521123,0.000000,0.000000,1.000000,1.000000,-0.016123,10.000000
0.807000,1,0.312225,0.001018,0.521125,0.000000,0.000000,1.000000,1.000000,-0.016125,10.000000
0.817000,1,0.312227,0.001044,0.521126,0.000000,0.000000,1.000000,1.000000,-0.016126,10.000000
0.827000,1,0.312222,0.001061,0.521124,0.000000,0.000000,1.000000,1.000000,-0.016124,10.000000
0.837000,1,0.312220,0.001080,0.521124,0.000000,0.000000,1.000000,1.000000,-0.016124,10.000000
0.847000,1,0.312218,0.001099,0.521120,0.000000,0.000000,1.000000,1.000000,-0.016120,10.000000
0.857000,1,0.312216,0.001122,0.521124,0.000000,0.000000,1.000000,1.000000,-0.016124,10.000000
0.867000,1,0.312214,0.001140,0.521118,0.000000,0.000000,1.000000,1.000000,-0.016118,10.000000
0.877000,1,0.312210,0.001154,0.521120,0.000000,0.000000,1.000000,1.000000,-0.016120,10.000000
0.887000,1,0.312213,0.001179,0.521121,0.000000,0.000000,1.000000,1.000000,-0.016121,10.000000
0.897000,1,0.312209,0.001195,0.521119,0.000000,0.000000,1.000000,1.000000,-0.016119,10.000000
0.907000,1,0.312208,0.001212,0.521119,0.000000,0.000000,1.000000,1.000000,-0.016119,10.000000
0.917000,1,0.312206,0.001230,0.521115,0.000000,0.000000,1.000000,1.000000,-0.016115,10.000000
0.927000,1,0.312204,0.001251,0.521119,0.000000,0.000000,1.000000,1.000000,-0.016119,10.000000
0.937000,1,0.312203,0.001267,0.521113,0.000000,0.000000,1.000000,1.000000,-0.016113,10.000000
0.947000,1,0.312200,0.001281,0.521115,0.000000,0.000000,1.000000,1.000000,-0.016115,10.000000
0.957000,1,0.312203,0.001304,0.521116,0.000000,0.000000,1.000000,1.000000,-0.016116,10.000000
0.967000,1,0.312199,0.001318,0.521115,0.000000,0.000000,1.000000,1.000000,-0.016115,10.000000
0.977000,1,0.312199,0.001335,0.521114,0.000000,0.000000,1.000000,1.000000,-0.016114,10.000000
0.987000,1,0.312197,0.001351,0.521110,0.000000,0.000000,1.000000,1.000000,-0.016110,10.000000
0.997000,1,0.312195,0.001371,0.521115,0.000000,0.000000,1.000000,1.000000,-0.016115,10.000000
1.007000,1,0.312194,0.001386,0.521109,0.000000,0.000000,1.000000,1.000000,-0.016109,10.000000
1.017000,1,0.312191,0.001398,0.521110,0.000000,0.000000,1.000000,1.000000,-0.016110,10.000000
1.027000,1,0.312195,0.001419,0.521111,0.000000,0.000000,1.000000,1.000000,-0.016111,10.000000
1.037000,1,0.312190,0.001433,0.521110,0.000000,0.000000,1.000000,1.000000,-0.016110,10.000000
1.047000,1,0.312190,0.001448,0.521109,0.000000,0.000000,1.000000,1.000000,-0.016109,10.000000
1.057000,1,0.312188,0.001463,0.521106,0.000000,0.000000,1.000000,1.000000,-0.016106,10.000000
1.067000,1,0.312187,0.001482,0.521110,0.000000,0.000000,1.000000,1.000000,-0.016110,10.000000
1.077000,1,0.312186,0.001496,0.521104,0.000000,0.000000,1.000000,1.000000,-0.016104,10.000000
1.087000,1,0.312183,0.001507,0.521106,0.000000,0.000000,1.000000,1.000000,-0.016106,10.000000
1.097000,1,0.312187,0.001527,0.521107,0.000000,0.000000,1.000000,1.000000,-0.016107,10.000000
1.107000,1,0.312182,0.001539,0.521106,0.000000,0.000000,1.000000,1.000000,-0.016106,10.000000
1.117000,1,0.312182,0.001554,0.521105,0.000000,0.000000,1.000000,1.000000,-0.016105,10.000000
1.127000,1,0.312180,0.001567,0.521102,0.000000,0.000000,1.000000,1.000000,-0.016102,10.000000
1.137000,1,0.312179,0.001585,0.521106,0.000000,0.000000,1.000000,1.000000,-0.016106,10.000000
1.147000,1,0.312179,0.001598,0.521100,0.000000,0.000000,1.000000,1.000000,-0.016100,10.000000
1.157000,1,0.312175,0.001608,0.521102,0.000000,0.000000,1.000000,1.000000,-0.016102,10.000000
1.167000,1,0.312179,0.001627,0.521103,0.000000,0.000000,1.000000,1.000000,-0.016103,10.000000
1.177000,1,0.312175,0.001638,0.521102,0.000000,0.000000,1.000000,1.000000,-0.016102,10.000000
1.187000,1,0.312175,0.001652,0.521101,0.000000,0.000000,1.000000,1.000000,-0.016101,10.000000
1.197000,1,0.312173,0.001664,0.521098,0.000000,0.000000,1.000000,1.000000,-0.016098,10.000000
1.207000,1,0.312172,0.001681,0.521102,0.000000,0.000000,1.000000,1.000000,-0.016102,10.000000
1.217000,1,0.312172,0.001692,0.521096,0.000000,0.000000,1.000000,1.000000,-0.016096,10.000000
1.227000,1,0.312168,0.001701,0.521098,0.000000,0.000000,1.000000,1.000000,-0.016098,10.000000
1.237000,1,0.312172,0.001720,0.521099,0.000000,0.000000,1.000000,1.000000,-0.016099,10.000000
1.247000,1,0.312168,0.001730,0.521098,0.000000,0.000000,1.000000,1.000000,-0.016098,10.000000
1.257000,1,0.312168,0.001742,0.521098,0.000000,0.000000,1.000000,1.000000,-0.016098,10.000000
1.267000,1,0.312166,0.001754,0.521094,0.000000,0.000000,1.000000,1.000000,-0.016094,10.000000
1.277000,1,0.312165,0.001770,0.521099,0.000000,0.000000,1.000000,1.000000,-0.016099,10.000000
1.287000,1,0.312165,0.001780,0.521093,0.000000,0.000000,1.000000,1.000000,-0.016093,10.000000
