# 实验开始时间: 0.056000 秒
# 本地时间: 20250506_151001
# 控制阶段说明: 0=APPROACH, 1=CONTACT, 2=CIRCULAR
# 软块物理属性: 杨氏模量=1000.000000Pa, 泊松比=0.450000
# 目标力: 10.000000N
# ---------------------------------------
time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
0.553000,1,0.311694,0.000225,0.537272,0.000000,0.000000,5.140371,5.140371,-0.032272,10.000000
0.563000,1,0.311753,0.000237,0.535885,0.000000,0.000000,5.054889,5.054889,-0.030885,10.000000
0.573000,1,0.311810,0.000245,0.534484,0.000000,0.000000,5.004430,5.004430,-0.029484,10.000000
0.583000,1,0.311861,0.000246,0.533088,0.000000,0.000000,4.922269,4.922269,-0.028088,10.000000
0.593000,1,0.311917,0.000262,0.531688,0.000000,0.000000,5.128837,5.128837,-0.026688,10.000000
0.603000,1,0.311962,0.000268,0.530283,0.000000,0.000000,5.050356,5.050356,-0.025283,10.000000
0.613000,1,0.312008,0.000272,0.528876,0.000000,0.000000,4.977292,4.977292,-0.023876,10.000000
0.623000,1,0.312050,0.000281,0.527464,0.000000,0.000000,5.243043,5.243043,-0.022464,10.000000
0.633000,1,0.312090,0.000292,0.526058,0.000000,0.000000,5.152323,5.152323,-0.021058,10.000000
0.643000,1,0.312127,0.000298,0.524639,0.000000,0.000000,5.097818,5.097818,-0.019639,10.000000
0.653000,1,0.312158,0.000301,0.523226,0.000000,0.000000,5.011373,5.011373,-0.018226,10.000000
0.663000,1,0.312194,0.000315,0.521811,0.000000,0.000000,5.212674,5.212674,-0.016811,10.000000
0.673000,1,0.312196,0.000384,0.521106,0.000000,0.000000,1.000000,1.000000,-0.016106,10.000000
0.683000,1,0.312190,0.000541,0.521096,0.000000,0.000000,1.000000,1.000000,-0.016096,10.000000
0.693000,1,0.312178,0.000678,0.521091,0.000000,0.000000,1.000000,1.000000,-0.016091,10.000000
0.703000,1,0.312168,0.000790,0.521095,0.000000,0.000000,1.000000,1.000000,-0.016095,10.000000
0.713000,1,0.312159,0.000876,0.521089,0.000000,0.000000,1.000000,1.000000,-0.016089,10.000000
0.723000,1,0.312148,0.000931,0.521090,0.000000,0.000000,1.000000,1.000000,-0.016090,10.000000
0.733000,1,0.312146,0.000989,0.521090,0.000000,0.000000,1.000000,1.000000,-0.016090,10.000000
0.743000,1,0.312137,0.001025,0.521088,0.000000,0.000000,1.000000,1.000000,-0.016088,10.000000
0.753000,1,0.312133,0.001048,0.521087,0.000000,0.000000,1.000000,1.000000,-0.016087,10.000000
0.763000,1,0.312127,0.001078,0.521084,0.000000,0.000000,1.000000,1.000000,-0.016084,10.000000
0.773000,1,0.312123,0.001106,0.521088,0.000000,0.000000,1.000000,1.000000,-0.016088,10.000000
0.783000,1,0.312120,0.001128,0.521082,0.000000,0.000000,1.000000,1.000000,-0.016082,10.000000
0.793000,1,0.312115,0.001143,0.521083,0.000000,0.000000,1.000000,1.000000,-0.016083,10.000000
0.803000,1,0.312118,0.001171,0.521084,0.000000,0.000000,1.000000,1.000000,-0.016084,10.000000
0.813000,1,0.312112,0.001190,0.521083,0.000000,0.000000,1.000000,1.000000,-0.016083,10.000000
0.823000,1,0.312112,0.001207,0.521082,0.000000,0.000000,1.000000,1.000000,-0.016082,10.000000
0.833000,1,0.312109,0.001227,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
0.843000,1,0.312108,0.001250,0.521082,0.000000,0.000000,1.000000,1.000000,-0.016082,10.000000
0.853000,1,0.312107,0.001268,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
0.863000,1,0.312103,0.001282,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
0.873000,1,0.312107,0.001306,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
0.883000,1,0.312104,0.001322,0.521077,0.000000,0.000000,1.000000,1.000000,-0.016077,10.000000
0.893000,1,0.312104,0.001339,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
0.903000,1,0.312103,0.001356,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
0.913000,1,0.312102,0.001377,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
0.923000,1,0.312102,0.001393,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
0.933000,1,0.312099,0.001406,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
0.943000,1,0.312103,0.001428,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
0.953000,1,0.312100,0.001443,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
0.963000,1,0.312100,0.001458,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
0.973000,1,0.312099,0.001474,0.521066,0.000000,0.000000,1.000000,1.000000,-0.016066,10.000000
0.983000,1,0.312099,0.001494,0.521070,0.000000,0.000000,1.000000,1.000000,-0.016070,10.000000
